[Name]
User Points

[Data]
"Time [s]","Monitor Point: Fxx [N]","Monitor Point: Fyy [N]"
1.71247268e+00,6.76310254e+03,2.30337695e+03
1.71647859e+00,6.75566797e+03,2.15566406e+03
1.72048366e+00,6.74792871e+03,1.99914844e+03
1.72448885e+00,6.74007324e+03,1.83407031e+03
1.72849333e+00,6.73211719e+03,1.66081445e+03
1.73249781e+00,6.72411328e+03,1.47968555e+03
1.73650181e+00,6.71612451e+03,1.29128906e+03
1.74050570e+00,6.70821729e+03,1.09627930e+03
1.74450910e+00,6.70057617e+03,8.95363281e+02
1.74851263e+00,6.69333887e+03,6.89292969e+02
1.75251555e+00,6.68671533e+03,4.78740234e+02
1.75651860e+00,6.68101465e+03,2.64660156e+02
1.76052165e+00,6.67649170e+03,4.80000000e+01
1.76452410e+00,6.67313086e+03,-1.70349609e+02
1.76852655e+00,6.67118848e+03,-3.89556641e+02
1.77252901e+00,6.67075391e+03,-6.08888672e+02
1.77653098e+00,6.67190088e+03,-8.27681641e+02
1.78053296e+00,6.67449170e+03,-1.04487695e+03
1.78453493e+00,6.67829492e+03,-1.25964063e+03
1.78853631e+00,6.68335742e+03,-1.47109766e+03
1.79253781e+00,6.68972559e+03,-1.67817383e+03
1.79653919e+00,6.69744238e+03,-1.87995313e+03
1.80054009e+00,6.70672803e+03,-2.07585156e+03
1.80454099e+00,6.71767969e+03,-2.26494336e+03
1.80854130e+00,6.72998584e+03,-2.44635742e+03
1.81254172e+00,6.74310938e+03,-2.61932227e+03
1.81654155e+00,6.75707617e+03,-2.78301563e+03
1.82054138e+00,6.77191504e+03,-2.93682813e+03
1.82454062e+00,6.78758203e+03,-3.08009375e+03
1.82853985e+00,6.80368799e+03,-3.21225195e+03
1.83253837e+00,6.81988770e+03,-3.33291602e+03
1.83653700e+00,6.83591211e+03,-3.44160547e+03
1.84053481e+00,6.85125342e+03,-3.53772656e+03
1.84453261e+00,6.86559961e+03,-3.62071484e+03
1.84852970e+00,6.87866406e+03,-3.69013477e+03
1.85252678e+00,6.89071582e+03,-3.74567188e+03
1.85652304e+00,6.90189453e+03,-3.78712109e+03
1.86051893e+00,6.91219287e+03,-3.81422852e+03
1.86451435e+00,6.92147852e+03,-3.82671875e+03
1.86850941e+00,6.92971777e+03,-3.82455273e+03
1.87250400e+00,6.93679492e+03,-3.80772852e+03
1.87649822e+00,6.94691992e+03,-3.73035938e+03
1.88049233e+00,6.95065967e+03,-3.63349609e+03
1.88448572e+00,6.95007959e+03,-3.53176953e+03
1.88847923e+00,6.94601270e+03,-3.42774023e+03
1.89247179e+00,6.93932178e+03,-3.31698242e+03
1.89646447e+00,6.93063477e+03,-3.19451953e+03
1.90045643e+00,6.92079590e+03,-3.05698242e+03
1.90444839e+00,6.91082227e+03,-2.90439453e+03
1.90843976e+00,6.90110156e+03,-2.73826367e+03
1.91243112e+00,6.89139063e+03,-2.56025391e+03
1.91642189e+00,6.88111230e+03,-2.37170117e+03
1.92041278e+00,6.87023096e+03,-2.17372266e+03
1.92440307e+00,6.85910498e+03,-1.96719922e+03
1.92839348e+00,6.84793994e+03,-1.75272461e+03
1.93238378e+00,6.83677881e+03,-1.53073047e+03
1.93637371e+00,6.82576123e+03,-1.30186914e+03
1.94036353e+00,6.81547021e+03,-1.06691016e+03
1.94435334e+00,6.80585059e+03,-8.26595703e+02
1.94834328e+00,6.79733252e+03,-5.81806641e+02
1.95233309e+00,6.79019043e+03,-3.33750000e+02
1.95632255e+00,6.78455762e+03,-8.37636719e+01
1.96031189e+00,6.78036523e+03,1.66921875e+02
1.96430135e+00,6.77787402e+03,4.17488281e+02
1.96829069e+00,6.77720898e+03,6.67275391e+02
1.97228014e+00,6.77827246e+03,9.15554688e+02
1.97626960e+00,6.78108447e+03,1.16139453e+03
1.98025894e+00,6.78584961e+03,1.40384570e+03
1.98424840e+00,6.79225781e+03,1.64159766e+03
1.98823774e+00,6.80039258e+03,1.87325391e+03
1.99222720e+00,6.81014600e+03,2.09800586e+03
1.99621665e+00,6.82127979e+03,2.31520313e+03
2.00020599e+00,6.83386621e+03,2.52438086e+03
2.00419497e+00,6.84788086e+03,2.72482813e+03
2.00818396e+00,6.86299121e+03,2.91559180e+03
2.01217270e+00,6.87865674e+03,3.09544141e+03
2.01616168e+00,6.89373975e+03,3.26328711e+03
2.02015018e+00,6.90835449e+03,3.41826563e+03
2.02413845e+00,6.92345850e+03,3.55999414e+03
2.02812648e+00,6.93900684e+03,3.68805273e+03
2.03211427e+00,6.95450977e+03,3.80185742e+03
2.03610182e+00,6.96904492e+03,3.90100195e+03
